The	AT the AT-TL the
Dame	NP dame
teams'	NNS$ team '
overcome	VBN overcome VB overcome
anywhere	RB anywhere
super	JJ super
Scherer	NP scherer
pitched	VBD pitch
5-1	CD 5 - 1
Crystal	NN-TL crystal
defeats	NNS defeat
tie	NN tie
trips	NNS trip
Len	NP len
Boehmer	NP boehmer
4-for-5	CD 4 - for-5
Ligget	NP-TL ligget
busy	JJ busy
Teachers	NNS-TL teacher
3:30	CD 3:30
doubleheader	NN doubleheader
Quincy	NP quincy
contented	VBN contented
cows	NNS cow
milk	NN milk
shouldn't	MD* should n't
talents	NNS talent
harder	RBR hard
successfully	RB successfully
careers	NNS career
frank	JJ frank
expectations	NNS expectation
that's	DT+BEZ that be WPS+BEZ that be
meant	VBN mean
knock	NN knock
agree	VB agree
they've	PPSS+HV they 've
heights	NNS height
bull-necked	JJ bull - necked
blond	JJ blond
switch-hitter	NN switch - hitter
sensational	JJ sensational
triple-crown	NN triple - crown
52	CD 52
rbi's	NNS rbi 's
130	CD 130
Like	CS like
Yankees'	NPS$ yankees '
slugger	NN slugger
terror	NN terror
ultimate	JJ ultimate
belted	VBD belt
51	CD 51
127	CD 127
happier	JJR happy
behaving	VBG behave
they're	PPSS+BER they be
peaks	NNS peak
professionals	NNS professional
spelled	VBN spell
correctly	RB correctly
fifteenth	OD fifteenth
differently	RB differently
rare	JJ rare
possessing	VBG possess
enabled	VBD enable
reserving	VBG reserve
resented	VBD resent
Stengel's	NP$ stengel 's
push	VB push
prod	VB prod
thrilling	JJ thrill
possessive	JJ possessive
inherited	VBD inherit
DiMaggio	NP dimaggio
Rizzuto	NP rizzuto
Class	NN-TL class
C	NP-TL c NN c
Joplin	NP joplin
body	NN body
beautiful	JJ beautiful
Ol'	JJ-TL ol'
homerun	NN homerun
hitter	NN hitter
bunter	NN bunter
base-runner	NN base - runner
preached	VBD preach
kid	NN kid
bubble	NN bubble
gum	NN gum
sow	VB sow
oats	NN oats
Inheriting	VBG inherit
sights	NNS sight
Broadway	NP broadway
quietly	RB quietly
bestowed	VBD bestow
pun	NN pun
intended	VBN intended
mantle	NN mantle
Major	NN-TL major NP major
continues	VBZ continue
162-game	JJ 162 - game
spread	VBN spread VB spread
thin	JJ thin
10-team	JJ 10 - team
inviting	JJ invite
Angeles'	NP$ angeles '
Wrigley	NP wrigley
glamorous	JJ glamorous
Ruth's	NP$ ruth 's
1927	CD 1927
Alvin	NP-HL alvin NP alvin
Commies	NPS commie
wonderful	JJ wonderful
walloping	VBG wallop
Dark	NP dark
Next	IN next
Leo	NP leo
Durocher	NP durocher
taught	VBD teach
grass-green	JJ grass - green
rushed	VBN rush
Polo	NN-TL polo
Grounds	NNS-TL ground
Romantic	JJ romantic
concerns	VBZ concern
Joan	NP joan
Monroe	NP monroe
Armour	NP armour
Wendell	NP wendell
Lake	NN-TL lake
brother	NN brother
Hampton	NP hampton
bride's	NN$ bride 's
marriage	NN marriage NN-HL marriage
bridegroom's	NN$ bridegroom 's
Barrett	NP barrett
Wendells	NPS wendell
winter	NN winter
holiday	NN holiday
Sarasota	NP sarasota
occasion	NN occasion
arrive	VB arrive
Kirkland	NP kirkland
Christmas	NP christmas
holidays	NNS holiday
Peter	NP peter
Westminster	NP westminster
measles	NN measle
sister	NN sister
Missoula	NP missoula
Mont.	NP mont.
baby	NN baby
mother	NN mother VB mother
Camilla	NP camilla
Alsop	NP alsop
bride	NN bride
wedding	NN wedding
Met	NP-HL met NP met
bulletins	VBZ bulletin
Sims	NP sim
Cancer	NN-TL cancer
Foundation	NN-TL foundation
Opera	NN-TL opera
Turandot	NP turandot
Birgit	NP birgit
Nilsson	NP nilsson
starred	VBN star
Housed	VBN house
McCormick	NP mccormick
exciting	JJ exciting
evening	NN evening
adds	VBZ add
board's	NN$ board 's
Belafonte	NP belafonte
off-beat	JJ off - beat
Sulcer	NP sulcer
Winnetka	NP winnetka
publicity	NN publicity
Her	PP$ her
recently	RB recently
university	NN university
east	NR east
Parichy-Hamm	NP-HL parichy - hamm
Frederick	NP frederick
Hamm	NP hamm
Bruce	NP bruce
Parichy	NP parichy
Bernadine's	NP$-TL bernadine 's
Arms	NNS-TL arm NNS-HL arm
Vero	NP-TL vero
Beadles'	NPS$ beadles '
Beadles	NPS beadle
Stevens	NP stevens NP-TL stevens
Kenilworth	NP kenilworth
niece	NN niece
uncles	NNS uncle
aunts	NNS aunt
Rush	NP rush
Butlers	NPS butler
Homer	NP homer
Robertsons	NPS robertson
Q.	NP q.
Porters	NPS porter
bridal	NN bridal
Stevenses'	NPS$ stevenses '
Here	RB-HL here RB-TL here
Press	NN-TL press
fete	VB fete
Lawn	NN-TL lawn
Tennis	NN-TL tennis
buffet	NN buffet
supper	NN supper
5:30	CD 5:30
bus	NN bus
Kramer's	NP$ kramer 's
tennis	NN tennis
loud	JJ loud
huzzahs	NNS huzzah
artistic	JJ artistic
success	NN success
Presbyterian-St.	NP presbyterian - st.
Luke's	NP$ luke 's
Fashion	NN-TL fashion NN-HL fashion
ringing	VBG ring
ears	NNS ear
Tieken	NP tieken
Geraghty	NP geraghty
earn	VB earn
acclaim	NN acclaim
entertainment	NN entertainment
summer's	NN$ summer 's
Trade	NN-TL trade
Armed	VBN arm
embassies	NNS embassy
bushes	NNS bush
oriental	JJ oriental
talent	NN talent
Industry	NN-TL industry
cultural	JJ cultural
activities	NNS activity
instance	NN instance
Djakarta	NP djakarta
dancers	NNS dancer
whirling	VBG whirl
dervishes	NNS dervish
Damascus	NP damascus
obstacle	NN obstacle
Geraghty's	NP$ geraghty 's
globe-girdling	JJ globe - girdle
smoothed	VBN smooth
Syria	NP syria
separated	VBN separate
Egypt	NP egypt
Arab	NP-TL arab
Republic	NN-TL republic
visa	NN visa
First	RB-HL first OD-TL first RB first
Honolulu	NP-HL honolulu NP honolulu
Japan	NP japan
Hong	NP hong
Kong	NP kong
Manila	NP manila
Pakistan	NP pakistan
Beirut	NP beirut
Rome	NP rome
London	NP london NP-HL london NP-TL london
look	VB look NN look
Geraghtys'	NPS$ geraghtys '
youngest	JJT young
Molly	NP molly
bows	VBZ bow
Passavant	NP-TL passavant
Debutante	NN-TL debutante NN debutante
Cotillion	NN-TL cotillion
cotillion	NN cotillion
gown	NN gown
fitted	VBN fit
invitations	NNS invitation
addressed	VBN address
Molly's	NP$ molly 's
tea	NN tea
Arts	NNS-TL art
folk	NN folk
festival	NN festival
singers	NNS singer
Chicago's	NP$ chicago 's
sing	VB sing
songs	NNS song
Balkan	NP balkan
Byron	NP byron
Harveys	NPS harveys
Racquet	NP racquet
Abra	NP abra
Prentice's	NP$ prentice 's
Casino	NN-TL casino
Burke-Rostagno	NP-HL burke - rostagno
Burkes'	NPS$ burkes '
Lambert	NP lambert
Italian	JJ italian NP italian JJ-TL italian
studying	VBG study
Florence	NP florence
Aldo	NP aldo
Rostagno	NP rostagno
Guglielmo	NP guglielmo
Rostagnos	NPS rostagnos
Burkes	NPS burkes
Europe	NP europe
Kankakee	NP kankakee
telling	VBG tell
engagement	NN engagement
Hall's	NP$ hall 's
girl	NN girl
fiance	NN fiance
publishing	VBG publish
translates	VBZ translate
farewell	NN farewell
Sethness	NP sethness
Consul	NN-TL consul
Giacomo	NP giacomo
Profili	NP profili
canceled	VBN cancel
surgery	NN surgery
Odell	NP odell
Clinton	NP clinton
King	NP king NN-TL king
Holabird	NP holabird
Boothby	NP boothby
Actress	NN-TL actress
Maureen	NP maureen
O'Sullivan	NP o'sullivan
costumes	NNS costume
Affaire	NP affaire
Towne	NN-TL towne
Bal	NP bal
Masque	NP masque
Germania	NP germania
crabapple	NN crabapple
trees	NNS tree
streets	NNS street
Lyon	NP lyon
Columnist	NN-TL columnist
Winchell	NP winchell
rat-a-tat-tatty	JJ rat - a - tat - tatty
wheeled	VBD wheel
trains	NNS train
en	FW-IN en
Phoenix	NP phoenix NP-TL phoenix
Ariz.	NP ariz.
rancho	NN rancho
portable	JJ portable
typewriter	NN typewriter
W.'s	NP+BEZ w. 's
hinted	VBN hint
ain't	BEZ* ai n't
Pretty	JJ pretty QL pretty
Sunny	NP sunny
Ainsworth	NP ainsworth
ex-Mrs.	NP ex - mrs.
Tommy	NP tommy
Manville	NP manville
Arvey	NP arvey
Playboy-Show-Biz	NP-TL playboy - show - biz
promotional	JJ promotional
She's	PPS+BEZ she be
fallout	NN fallout
shelters	NNS shelter
beer	NN beer
stein	NN stein
pubs	NNS pub
nights	NNS night
Everybody	PN everybody
ethics	NNS ethic
morals	NNS moral
Comic	NN comic
Gary	NP gary
Lucille	NP lucille
Ball	NP ball NP-HL ball
scoop	NN scoop
Jane	NP jane NP-TL jane
Russell	NP russell
singing	VBG singe
appearances	NNS appearance
Russell's	NP$ russell 's
Skylark	NN-TL skylark
debuting	VBG debut
Drury	NP-TL drury
sellout	NN sellout
cry	VB cry
warbling	VBG warble
pain	NN pain
medico's	NN$ medico 's
injection	NN injection
inflamed	VBD inflamed
nerve	NN nerve
Simonelli	NP simonelli
Universal-International	JJ-TL universal - international
studio	NN studio
exec	NN exec
makes	VBZ make
column	NN column
bulletin'd	VBD bulletin'd
wed	VB we d VBN we d
Rosemary	NP rosemary
Strafaci	NP strafaci
Mag	NN-TL mag
Handsome	JJ handsome
bachelor	NN bachelor
favorite	JJ favorite
Hollywood's	NP$ hollywood 's
glamor	NN glamor
gals	NNS gal
Simon	NP simon
Aiding	VBG-TL aid
Leukemia	NN-TL leukemia
Stricken	VBN-TL stricken
Children	NNS-TL child
low-down	JJ low - down
phonies	NNS phony
phones	NNS phone
solicit	VB solicit
Danny's	NP$ danny 's
Jude	NP-TL jude
Memphis	NP memphis
staging	VBG stage
entertain	VB entertain
underprivileged	JJ underprivileged
mail	VB mail NN mail
contribs	NNS contribs
Box	NN-TL box
7599	CD 7599
solicits	VBZ solicit
dough	NN dough
Olivia	NP olivia
Havilland	NP havilland
Garson	NP garson
Kanin	NP kanin
Gift	NN-TL gift
She'll	PPS+MD she 'll
Gotham	NP gotham
Gorgeous	JJ gorgeous
Doris	NP doris
producer-hubby	NN producer - hubby
Marty	NP marty
Melcher	NP melcher
tour	NN tour
U-I	NN u - i
Rackmil	NP rackmil
Carnegie	NP carnegie
toast	VB toast NN toast
movie	NN movie
exhibitors	NNS exhibitor
It'll	PPS+MD it 'll
screenings	NNS screening
Doris'	NP$ doris '
Lover	NN-TL lover
Come	VB-TL come
Back	RB-TL back RB-HL back RB back
Flower	NN-TL flower NP flower
Drum	NN-TL drum
Song	NN-TL song
Whee	UH whee
People	NNS people
Lovely	JJ lovely
Thrush	NN thrush
Annamorena	NP annamorena
biz	NN biz
touches	NNS touch
hubby	NN hubby
Lenobel's	NP$ lenobel 's
fur	NN fur
Typical	JJ typical
mink	NN mink
Freddie	NP freddie
Wacker	NP wacker
frau	NN frau
Jana	NP jana
Mason	NP mason
ex-singer	NN ex - singer
Wackers'	NPS$ wackers '
Fur	IN fur
goodness	NN goodness
sake	NN sake
Emcee	NN emcee
Herbert	NP herbert
Nixon's	NP$ nixon 's
slogan	NN slogan
Knight	NP-TL knight
Fall	VB-TL fall NN fall
Give	VB give
generously	RB generously
buy	VB buy
candy	NN candy
Brain	NN-TL brain
worthiest	JJT worthy
charities	NNS charity
Best	JJT well NP-TL well
Bet	NN bet
darlin'	JJ darlin '
dazzler	NN dazzler
Paree	NP paree
Genevieve	NP genevieve
Trager	NP trager
showman	NN showman
boss	NN boss
holders	NNS holder
Stock	NN-TL stock NN stock
Yards	NNS-TL yard
Jump	NN jump
Packs	NNS-TL pack
Nobody's	PN+HVZ nobody be
mentioned	VBN mention
ol'	JJ ol'
Mets	NPS-TL met NPS met
baseballight	NN baseballight
wear	VB wear
uniform	NN uniform JJ uniform
Bernie	NP bernie
Kriss	NP kriss
bayonet	NN bayonet
clashes	NNS clash
Berlin's	NP$ berlin 's
Brandenburg	NP-TL brandenburg
Gate	NN-TL gate
Sentry	NN-TL sentry
jotted	VBN jot
dept.	NN dept .
Khrush	NP khrush
confident	JJ confident
They're	PPSS+BER they be
contaminating	VBG contaminate
earth's	NN$ earth 's
via	IN via
megaton	NN megaton
bombs	NNS bomb
peasants	NNS peasant
Albert	NP albert
Luthuli	NP luthuli
awarded	VBN award
Nobel	NP nobel
African	NP-TL african
struggles	NNS struggle
collect	VB collect
Hmpf	UH hmpf
frothier	JJR frothi
Weissmuller	NP weissmuller
Tarzan	NP tarzan
telephoned	VBD telephone
muttered	VBD mutter
Me	PPO i
Snapped	VBD snap
glib	JJ glib
garrulous	JJ garrulous
Everywhere	RB everywhere
sidled	VBD sidle
guttural	JJ guttural
frightening	VBG frightening
yodel	NN yodel
roles	NNS role
Dolce	FW-JJ-TL dolce
Vita	FW-NN-TL vita
dynamite	NN dynamite
flicker	NN flicker
opens	VBZ open
Loop	NN-TL loop
masterful	JJ masterful
Veeck's	NP$ veeck 's
dynamo	NN dynamo
medics	NNS medic
rest	VB rest NN-HL rest NN rest
swim	NN swim VB swim
doings	NNS doing
Tribune	NN-TL tribune
tells	VBZ tell
misses	VBZ miss
Ticker	NP ticker
Jean	NP jean
Fardulli's	NP$ fardulli 's
Angel	NN-TL angel
import	VB import
crazy	JJ crazy
Twist	NN-TL twist
They'll	PPSS+MD they 'll
lessons	NNS lesson
pronto	RB pronto
cheer	NN cheer
Francis	NP francis
Lorenz	NP lorenz
probate	NN probate
suggestions	NNS suggestion
deposit	NN deposit
boxes	NNS box
dies	VBZ die
closed	VBN close
Gods	NNS-TL god
gala	JJ gala NN gala
Music	NN music NN-TL music
dancing	VBG dance NN dance
furnished	VBN furnish
Uhles	NP uhle
orchestra	NN orchestra
Members	NNS member
guests	NNS guest
suites	NNS suite
patio	NN patio
genial	JJ genial
Beginning	VBG begin
nightly	RB nightly
Hackstaff	NP hackstaff
Luette	NP luette
Bowman	NP bowman
celebrates	VBZ celebrate
birthday	NN birthday
Chase	NP chase
Sheila	NP sheila
Mercy	NN-TL mercy
Grandparents	NNS grandparent
Mullenax	NP mullenax
Kittredge	NP kittredge
w.	JJ-HL w.
coast	NN-HL coast NN coast
McIntosh	NP mcintosh
Buell	NP buell
Santa	NP santa NP-HL santa
Calif.	NP calif.
Vroman	NP vroman
Manzanola	NP manzanola
Plaza	NP plaza
Merrill	NP merrill
Shoup	NP shoup
Colorado	NP-TL colorado NP colorado
Palace	NN-TL palace
Brig.	NN-TL brig .
McDermott	NP mcdermott
black	JJ black
Officers'	NNS$-TL officer '
Cocktail	NN-HL cocktail
Piero	NP piero
Luise	NP luise
Emilio	NP emilio
Bassi	NP bassi
Bassis	NPS bassis
stag	NN stag
precede	VB precede
Cocktails	NNS cocktail
dining	NN dining VBG dining
Betsy	NP betsy
Parker	NP parker
Eastern	JJ-TL eastern
Security	NN-TL security
Life	NN-TL life
Bldg.	NN-TL bldg .
Guests	NNS guest NNS-HL guest
juniors	NNS junior
staged	VBN stage VBD stage
Neusteters	NPS neusteters
preceded	VBN precede VBD precede
Teter	NP-TL teter
Mead	NP mead
decorations	NNS decoration
Stanley	NP stanley
Wright	NP wright
Pate	NP pate
Milton	NP milton
Bernet	NP bernet
Rollie	NP rollie
Bradford	NP bradford
Butler	NP butler
Carr	NP carr
Campbell	NP campbell
Carruthers	NP carruther
Cris	NP cris
Dobbins	NP dobbins
Glass	NN-TL glass
Alfred	NP alfred
Hicks	NP hicks
Magarrell	NP magarrell
Willett	NP willett
Myron	NP myron
Neusteter	NP neusteter
Sudier	NP sudier
Welborn	NP welborn
D.C.	NP d.c.
Kira	NP kira
R.L.	NP r.l.
Rickenbaugh	NP rickenbaugh
E.O.	NP e.o.
Scarsdale	NP scarsdale
cheery	JJ cheery
smile	NN smile
compassionate	JJ compassionate
practical	JJ practical
down-to-earth	JJ down - to - earth
qualities	NNS quality
Esther	NP esther
Marr	NP marr
asset	NN asset
Salvation	NN-TL salvation
Social	JJ-TL social
Center	NN-TL center NN center
1200	CD 1200
Larimer	NP-TL larimer
pert	JJ pert
gray-haired	JJ gray - haired
civilian	NN civilian
covers	VBZ cover
tasks	NNS task
Mom	NN-TL mom
80	CD 80
link	NN link
bridge	VB bridge NN bridge
gulf	NN gulf
alcoholics	NNS alcoholic
parolees	NNS parolee
pressing	VBG press
written	VBN write
Week	NN-TL week
plenty	NN plenty
schedules	NNS schedule
solved	VBN solve
Marr's	NP$ marr 's
welcome	NN welcome
mat	NN mat
Skid	NN-TL skid
Row	NN-TL row
decides	VBZ decide
wants	VBZ want
sees	VBZ see
cup	NN cup
steaming	VBG steam
coffee	NN coffee
awaiting	VBG await
chat	VB chat
informally	RB informally
presents	VBZ present
Usually	RB usually
withdrawn	VBN withdraw
relearns	VBZ relearn
mingle	VB mingle
Denverite	NP denverite
bum	VB bum
tickets	NNS ticket
beggar	NN beggar
sporting	VBG sport
concerts	NNS concert
cookies	NNS cookie
sweets	NNS sweet
sugar	NN sugar
watching	VBG watch
parole	NN parole
readjust	VB readjust
mid-June	NP mid - june
vacation	NN vacation
forth	RB forth
vast	JJ vast
lovely	JJ lovely
all-American	JJ all - american
safari	NN safari
motel-keepers	NNS motel - keeper
bleak	JJ bleak
Vacancy	NN-TL vacancy
abroad	RB abroad
suitcases	NNS suitcase
comic	JJ comic
magic	JJ magic
Ah	UH ah
simple	JJ simple
reared	VBN rear
grandma	NN grandma
summertime	NN summertime
onslaught	NN onslaught
7-day	JJ 7 - day
journey	NN journey
2809	CD 2809
miles	NNS mile
Tucson	NP tucson
influx	NN-HL influx
testify	VB testify
motels	NNS motel
comfort	NN comfort
stations	NNS station
Scots	NPS scot
heather	NN heather
wagons	NNS wagon
roadside	NN roadside
restaurants	NNS restaurant
souvenir	NN souvenir
snake	NN snake
braced	VBN brace
boasting	VBG boast
offers	VBZ offer
vacationing	VBG vacation
beauty	NN beauty
far-flung	JJ far - flung
over-night	JJ over - night
accommodations	NNS accommodation
Maybe	RB maybe
motel-keeping	NN motel - keeping
tastes	NNS taste
peculiarities	NNS peculiarity
Shamrock	NN-TL shamrock
Motel	NN-TL motel
advertises	VBZ advertise
vented	VBN vent
heat	NN heat
carpeted	VBN carpet
storm	NN storm
cellar	NN cellar
pools	NNS-HL pool NNS pool
Innumerable	JJ innumerable
boast	VB boast
swimming	VBG swimming
hospitable	JJ hospitable
poised	VBN poise
brink	NN brink
adults	NNS adult
Motorists	NNS motorist
myself	PPL myself
tourists	NNS tourist
accommodated	VBN accommodate
village	NN village
marvel	VB marvel
luxury	NN luxury
relatively	QL relatively
fast-grossing	JJ fast - gross
motel	NN motel NN-HL motel
$14	NNS-HL $ 14 NNS $ 14
Boxwood	NP-TL boxwood
Winchester	NP winchester
Va.	NP va.
accidentally	RB accidentally
suite	NN suite
elegant	JJ elegant
wall-to-wall	JJ wall - to - wall
carpeting	NN carpeting
gold	JJ gold NN gold
white	JJ white NN white
furniture	NN furniture
pink	JJ pink
satin	NN satin
brocade	NN brocade
chairs	NNS chair
24-inch	JJ 24 - inch
tile	NN tile
bath	NN bath
towels	NNS towel
proprietor	NN proprietor
$8.50	NNS $ 8.50
tab	NN tab
ants	NNS ant
pressed-paper	NN press - paper
Oxnard	NP oxnard
Judith	NP judith
Ellen	NP ellen
Gay	NP gay
Munger	NP-TL munger
Methodist	JJ-TL methodist NP-TL methodist NP methodist
Parents	NNS parent
Ferris	NP ferris
7034	CD 7034
Coronado	NP coronado
bridegroom	NN bridegroom
Baines	NP baines
Monica	NP monica
UCLA	NN ucla
Perkins	NP-TL perkins NP perkins
Theology	NN-TL theology
officiated	VBD officiate
Honor	NN honor
attendants	NNS attendant
Sandra	NP sandra
Branum	NP branum
McRoberts	NP mcrobert
Sequoia	NP-TL sequoia
Frances	NP frances
Baker	NP baker
Elvis	NP elvis
chapel	NN chapel
Presbyterian	NP-TL presbyterian
Rhodes	NP rhodes NP-TL rhodes
Semmes	NP semmes
Kappa	NP kappa
Gamma	NN-TL gamma
Mortar	NN-TL mortar
Alton	NP alton
Shreveport	NP shreveport
Cater	NP cater
Parmer	NP parmer
Alpha	NP alpha
Tau	NP tau
Omega	NP omega
Sigma	NP sigma
Pi	NP pi
Grahamstown	NP grahamstown
Fellowship	NN-TL fellowship
Freeman	NP freeman
Pabor	NP pabor
Hand	NP hand
music	NN music
wore	VBD wear
court-length	JJ court - length
organdy	NN organdy
bateau	NN bateau
neckline	NN neckline
princesse	NN princesse
skirt	NN skirt
accented	VBN accented
lace	NN lace
appliques	NNS applique
veil	NN veil
crown	NN crown
gardenias	NNS gardenias
stephanotis	NN stephanotis
Baird	NP baird
maid	NN maid
bridesmaids	NNS bridesmaid
Dawson	NP dawson
Hinsdale	NP hinsdale
Reeder	NP reeder
Cecil	NP cecil
Hartford	NP hartford NP-TL hartford
Conn.	NP conn.
groomsmen	NNS groomsman
Carter	NP carter
Conrad	NP conrad
McEachern	NP mceachern
Ken	NP ken
Neumann	NP neumann
seated	VBD seat VBN seat
Mayfair	NP-TL mayfair
newlyweds	NNS newlywed
Corpus	NP corpus
Christi	NP christi
Shirley	NP shirley
Meredith	NP meredith
Arlington	NP-TL arlington
2705	CD 2705
Fitzhugh	NP fitzhugh
Hardy	NP hardy
Floresville	NP floresville
Chapel	NN-TL chapel
Beam	NP beam
featuring	VBG feature
flared	VBN flare
jacket	NN jacket
pearl	NN pearl
headdress	NN headdress
orchids	NNS orchid
Glenda	NP glenda
Kay	NP kay
sister's	NN$ sister 's
Lewelleyn	NP lewelleyn
Angelo	NP angelo
Lovelace	NP lovelace
Cedric	NP cedric
Burgher	NP burgher
Christian	JJ-TL christian JJ christian NP christian
Pampa	NP pampa
Marcile	NP marcile
Marie	NP marie
Glison	NP glison
Earl	NP earl
Loving	NP love
8861	CD 8861
Gaston	NP gaston
Ervin	NP ervin
Woman's	NN$-TL woman 's
studies	NNS study
Night	NN-TL night
gayety	NN gayety
Thrift	NN-TL thrift
Shop	NN-TL shop
Philmont	NP-TL philmont NP philmont
reputation	NN reputation
fun	NN fun
promises	VBZ promise
tradition	NN tradition
Grinsfelder	NP grinsfelder
food	NN food
colorful	JJ colorful
hospitality	NN hospitality
exactly	RB exactly QL exactly
We've	PPSS+HV we 've
prospects	NNS prospect
hats	NNS hat
excitement	NN excitement
Basin	NN-TL-HL basin NN-TL basin
Beat	NN-TL-HL beat
festivities	NNS festivity
jazz	NN jazz
combo	NN combo
Lester	NP lester
Lanin's	NP$ lanin 's
Louchheim	NP louchheim
phase	NN phase
globetrotter	NN globetrotter
R's	NN r 's
oysters	NNS oyster
specialties	NNS specialty
chef	NN chef
Scenic	JJ-HL scenic
effects	NNS-HL effect NNS effect
scenic	JJ scenic
flowers	NNS flower
reproductions	NNS reproduction
handsome	JJ handsome
grillwork	NN grillwork
typical	JJ typical
Cohen	NP cohen
Hollander	NP hollander
display	NN display
Brothers	NNS-TL brother
Shop's	NN$-TL shop 's
bundle	NN bundle
clothing	NN clothing
household	NN household
bric-a-brac	NN bric - a - brac
stock	VB stock NN stock
shelves	NNS shelf
shop's	NN$ shop 's
1213	CD 1213
Walnut	NN-TL walnut NN walnut
Bundle	NN-HL bundle
convenience	NN convenience
throughout	IN throughout
suburbs	NNS suburb
deposited	VBN deposit
bundles	NNS bundle
dinners	NNS dinner
Bernhard	NP bernhard
Blumenthal	NP blumenthal
fund-raisers	NNS fund - raiser
Jewish	JJ-TL jewish
Agencies	NNS-TL agency
competence	NN competence
contribution	NN contribution
totals	VBZ total
$840,000	NNS $ 840,000
feminine	JJ feminine
husbands	NNS husband
Glazer	NP glazer
men's	NNS$ man 's
staffing	VBG staff
shop	NN shop
Kapnek	NP kapnek
Newburger	NP newburger
hostesses	NNS hostess
Loeb	NP loeb
arrangements	NNS arrangement
Lichtenstein	NP lichtenstein
Rose	NP rose
secretarial	JJ secretarial
duties	NNS duty
aides	NNS aide
Lewis	NP lewis
Kaufnabb	NP kaufnabb
Weinberg	NP weinberg
Allan	NP allan
